Unnamed: 0,Date Created,User,Tweet
87,2022-04-08 15:50:16+00:00,Jonibn11,"Puan Maharani terlahir sebagai keturunan proklamator, yang mana merupakan Presiden Republik Indonesia pertama, Soekarno.  #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
88,2022-04-08 09:09:54+00:00,Joko1072,"pertemuan kepala negara dengan Puan terjadi setelah  memperingatkan menterinya untuk tidak lagi berwacana di publik terkait penundaan pemilu dalam Rapat Kabinet Paripurna di Istana Merdeka, 

#JokowiBersamaPuan
Tolak Tunda Pemilu 2024
https://t.co/csMehVZmTj"
89,2022-04-08 09:06:21+00:00,zulhazid,"“ Khususnya bagi penyintas dalam konflik, perempuan bisa bersama-sama bergerak menciptakan keadilan sebab pemenuhan keadilan dan hak-hak perempuan juga menjadi amanat dalam resolusi PBB,”  --Puan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
90,2022-04-08 07:43:54+00:00,seruqm,"Tetap semangat Ibu Puan dalam berupaya menyatukan Agama dan Ilmu
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/IyDYlywjmF"
91,2022-04-08 07:40:22+00:00,Reni72093485,"Apresiasi Bu Puan kepada Bapak Presiden Jokowi berdampak positif untuk DPR
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/V3yh83rvOB"
92,2022-04-08 07:38:28+00:00,bebiuwuU,"puan maharani pastikan RUU TPKS dibawa ke paripurna 14 april 2022
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/HvEjjM33pM"
93,2022-04-08 07:15:56+00:00,Almeeraa_1,"Puan menjelaskan, yang dibutuhkan rakyat saat ini bukanlah perbicangan penundaan pemilu atau perpanjangan presiden, tapi bagaimana harga-harga sembako tidak melonjak dan juga mudah didapatkan.
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/0D3UYdtgUC"
94,2022-04-08 07:14:06+00:00,Lancelo68278336,"Dengan presiden melarang menterinya berbicara isu penundaan pemilu, Hendra menduga telah terjadi kesepahaman antara Puan dan Jokowi, yakni sama-sama menolak penundaan pemilu.
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/lxFeEEbmdQ"
95,2022-04-08 07:13:44+00:00,Resasaa_,"“Saya sadari pembahasan RUU TPKS diwarnai banyak dinamika sejak awal diusulkan tahun 2016. Pencapaian ini adalah keberhasilan kita seluruh bangsa Indonesia,” –Puan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
96,2022-04-08 07:13:37+00:00,Stella95119113,"Mantab Puan mendukung Jokowi soal larang menteri bahas penundaan pemilu 
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/cmdP4qFd6o"
97,2022-04-08 07:12:37+00:00,NengRikha4,"Puan menjelaskan, yang dibutuhkan rakyat saat ini bukanlah perbicangan penundaan pemilu atau perpanjangan presiden, tapi bagaimana harga-harga sembako tidak melonjak dan juga mudah didapatkan
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024
https://t.co/q63LJ6khc2"
98,2022-04-08 07:10:03+00:00,Aisyahcinta18,"""Tolak Tunda Pemilu, Puan dan Jokowi Segaris Instruksi Megawati"". 
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024
https://t.co/awZGUdXsHW"
99,2022-04-08 07:08:48+00:00,yaelah34,"""Tolak Tunda Pemilu, Puan dan Jokowi Segaris Instruksi Megawati"". 
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/CYoUVWvsYO"
100,2022-04-08 07:08:22+00:00,Rainb0wsalt10,"Sebelumnya, Ketua DPR RI, Puan Maharani, menegaskan sikap politiknya untuk menolak penundaan pemilu. Sikap keduanya dinilai sebagai kader banteng sejati. #JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/8FroiFicR4"
